id,conductor_id,placa,marca,modelo,anio,color,capacidad,tipo_servicio
1,1,E1G-901,Hyundai,Elantra,2018,plata,4,xl
2,2,F1A-363,Nissan,Versa,2024,azul,7,confort
3,3,G5D-136,Nissan,Versa,2020,gris,4,xl
4,4,D9J-603,Hyundai,Tucson,2022,azul,5,xl
5,5,G4B-310,Kia,Cerato,2024,blanco,5,estandar
6,6,A2B-918,Hyundai,Tucson,2017,azul,5,economico
7,7,H5H-181,Kia,Sportage,2023,blanco,4,economico
8,8,F2E-977,Hyundai,Tucson,2023,gris,4,estandar
9,9,E5B-703,Chevrolet,Tracker,2026,blanco,4,xl
10,10,A6D-415,Chevrolet,Onix,2016,azul,4,confort
11,11,G8D-754,Toyota,Yaris,2023,gris,4,estandar
12,12,H1J-361,Nissan,Kicks,2026,azul,5,xl
13,13,G3C-476,Kia,Sportage,2024,azul,4,estandar
14,14,C9A-878,Chevrolet,Sail,2022,negro,4,estandar
15,15,D1G-622,Kia,Sportage,2019,plata,7,confort
16,16,H7H-614,Nissan,Versa,2023,plata,4,confort
17,17,D8E-851,Chevrolet,Onix,2023,gris,7,xl
18,18,C2D-465,Kia,Sportage,2017,blanco,5,confort
19,19,F3J-816,Kia,Sportage,2021,gris,7,xl
20,20,B2E-639,Kia,Cerato,2024,negro,5,xl
21,21,B2H-534,Kia,Cerato,2019,negro,4,xl
22,22,F2F-897,Kia,Sportage,2020,gris,4,xl
23,23,J7D-839,Nissan,Versa,2026,blanco,7,estandar
24,24,J3A-955,Kia,Rio,2020,negro,4,economico
25,25,H3C-387,Kia,Rio,2016,azul,4,estandar
26,26,C8G-520,Kia,Sportage,2014,azul,7,confort
27,27,A2J-134,Nissan,Sentra,2014,negro,4,confort
28,28,A2F-991,Chevrolet,Sail,2021,rojo,4,confort
29,29,G7H-206,Chevrolet,Onix,2019,gris,4,xl
30,30,F4C-502,Toyota,Yaris,2023,plata,5,confort
31,31,C8C-149,Nissan,Kicks,2019,rojo,4,xl
32,32,B2C-827,Kia,Sportage,2019,plata,5,estandar
33,33,F1C-187,Chevrolet,Onix,2019,rojo,4,estandar
34,34,H8F-995,Toyota,Corolla,2022,negro,4,estandar
35,35,C7E-322,Nissan,Kicks,2019,plata,5,confort
36,36,G1H-674,Kia,Sportage,2026,blanco,5,confort
37,37,B9B-567,Toyota,Corolla,2019,gris,4,estandar
38,38,E5B-912,Chevrolet,Onix,2023,negro,4,estandar
39,39,G5J-282,Toyota,Rav4,2026,rojo,4,confort
40,40,H5H-555,Chevrolet,Onix,2019,plata,4,economico
41,41,A6F-410,Nissan,Kicks,2023,gris,4,confort
42,42,G9H-773,Hyundai,Elantra,2015,gris,5,estandar
43,43,A5A-598,Hyundai,Elantra,2025,negro,4,economico
44,44,D6H-577,Kia,Rio,2014,rojo,4,economico
45,45,F5H-565,Toyota,Yaris,2026,gris,7,confort
46,46,B5J-595,Hyundai,Accent,2016,gris,4,xl
47,47,F7E-206,Chevrolet,Sail,2019,gris,5,confort
48,48,G9F-996,Toyota,Rav4,2019,plata,4,confort
49,49,D3J-475,Hyundai,Elantra,2019,azul,4,confort
50,50,E8F-613,Nissan,Versa,2024,plata,5,economico
51,51,J5B-895,Hyundai,Accent,2020,negro,4,estandar
52,52,H1E-118,Kia,Cerato,2015,gris,5,xl
53,53,E8H-837,Toyota,Rav4,2017,gris,4,confort
54,54,F1J-829,Kia,Rio,2021,gris,4,xl
55,55,B8A-295,Toyota,Rav4,2020,blanco,4,economico
56,56,F1A-876,Nissan,Versa,2021,rojo,4,xl
57,57,E1H-656,Nissan,Sentra,2025,azul,4,confort
58,58,B7C-212,Kia,Sportage,2026,gris,7,estandar
59,59,G8G-793,Chevrolet,Sail,2019,negro,5,xl
60,60,F6J-708,Hyundai,Elantra,2014,plata,4,xl
61,61,C9J-319,Hyundai,Elantra,2026,blanco,4,estandar
62,62,B4A-176,Kia,Cerato,2017,blanco,7,xl
63,63,C8E-729,Kia,Rio,2020,plata,4,confort
64,64,G8B-811,Nissan,Sentra,2022,blanco,4,economico
65,65,H4F-892,Toyota,Rav4,2020,gris,7,estandar
66,66,A9C-970,Nissan,Sentra,2016,rojo,5,estandar
67,67,E2C-618,Nissan,Kicks,2020,plata,7,economico
68,68,C3D-915,Toyota,Yaris,2015,gris,4,confort
69,69,G2B-699,Hyundai,Elantra,2026,rojo,7,estandar
70,70,E7F-562,Kia,Cerato,2024,rojo,4,xl
71,71,D3F-802,Kia,Cerato,2018,gris,4,economico
72,72,B9F-187,Chevrolet,Sail,2020,plata,4,economico
73,73,C1D-665,Kia,Sportage,2024,azul,4,estandar
74,74,G9E-899,Nissan,Versa,2022,gris,5,economico
75,75,G3C-128,Kia,Rio,2018,rojo,7,estandar
76,76,D6E-161,Hyundai,Accent,2015,negro,5,estandar
77,77,D7A-300,Chevrolet,Sail,2022,plata,5,confort
78,78,H1A-531,Nissan,Kicks,2024,plata,5,economico
79,79,D8G-247,Chevrolet,Tracker,2023,gris,4,xl
80,80,H2G-289,Nissan,Versa,2021,negro,4,confort
81,81,J9G-674,Chevrolet,Sail,2024,gris,4,xl
82,82,D1D-946,Chevrolet,Tracker,2016,plata,4,confort
83,83,E7H-405,Nissan,Versa,2023,azul,4,xl
84,84,F4A-496,Toyota,Corolla,2026,azul,4,xl
85,85,D5C-444,Toyota,Rav4,2015,rojo,7,xl
86,86,B9B-855,Toyota,Corolla,2022,azul,4,estandar
87,87,J3G-575,Nissan,Versa,2021,gris,4,economico
88,88,D2D-752,Kia,Cerato,2025,negro,4,estandar
89,89,A3C-215,Nissan,Sentra,2023,rojo,4,xl
90,90,E9A-244,Kia,Sportage,2017,negro,4,estandar
91,91,E4B-104,Chevrolet,Onix,2019,plata,4,confort
92,92,H5F-359,Toyota,Corolla,2023,negro,4,economico
93,93,C2E-148,Toyota,Yaris,2016,azul,4,estandar
